timestamp,text,sentiment,score,keyword
2026-02-04 23:46:10,"Just checking out #Python, seems okay.",Positive,0.2263,#Python
2026-02-04 23:46:12,I love usage of #Startup! It's amazing.,Positive,0.8516,#Startup
2026-02-04 23:46:14,#AI is failing hard today. Terrible performance.,Negative,-0.7783,#AI
2026-02-04 23:46:15,Why is #Python so popular? I don't get the hype.,Positive,0.5598,#Python
2026-02-04 23:46:16,I love usage of #Tech! It's amazing.,Positive,0.8516,#Tech
2026-02-04 23:46:19,Excited for the new #Startup update!,Positive,0.4003,#Startup
2026-02-04 23:46:22,#AI broken again. Please fix it.,Negative,-0.2023,#AI
2026-02-04 23:46:24,Why is #Tech so popular? I don't get the hype.,Positive,0.5598,#Tech
2026-02-04 23:46:26,Investing in #Crypto is the best decision I made.,Positive,0.6369,#Crypto
2026-02-04 23:46:28,I love usage of #Tech! It's amazing.,Positive,0.8516,#Tech
2026-02-04 23:46:30,"Just checking out #Python, seems okay.",Positive,0.2263,#Python
2026-02-04 23:46:32,#Crypto broken again. Please fix it.,Negative,-0.2023,#Crypto
2026-02-04 23:46:35,Excited for the new #AI update!,Positive,0.4003,#AI
2026-02-04 23:46:37,"Neutral opinion on #Startup, wait and see.",Neutral,0.0,#Startup
2026-02-04 23:46:40,I love usage of #Startup! It's amazing.,Positive,0.8516,#Startup
2026-02-04 23:46:42,#Python broken again. Please fix it.,Negative,-0.2023,#Python
2026-02-04 23:46:45,#Startup is failing hard today. Terrible performance.,Negative,-0.7783,#Startup
2026-02-04 23:46:47,"Neutral opinion on #Tech, wait and see.",Neutral,0.0,#Tech
2026-02-04 23:46:50,"Just checking out #AI, seems okay.",Positive,0.2263,#AI
2026-02-04 23:46:52,#Crypto is failing hard today. Terrible performance.,Negative,-0.7783,#Crypto
2026-02-04 23:46:55,"Just checking out #Python, seems okay.",Positive,0.2263,#Python
2026-02-04 23:46:57,"Just checking out #Tech, seems okay.",Positive,0.2263,#Tech
2026-02-04 23:47:00,"Just checking out #Tech, seems okay.",Positive,0.2263,#Tech
2026-02-04 23:47:02,Investing in #AI is the best decision I made.,Positive,0.6369,#AI
2026-02-04 23:47:03,#Tech broken again. Please fix it.,Negative,-0.2023,#Tech
2026-02-04 23:47:06,"Neutral opinion on #AI, wait and see.",Neutral,0.0,#AI
2026-02-04 23:47:07,Excited for the new #Tech update!,Positive,0.4003,#Tech
2026-02-04 23:47:10,#Startup is failing hard today. Terrible performance.,Negative,-0.7783,#Startup
2026-02-04 23:47:12,Excited for the new #Python update!,Positive,0.4003,#Python
2026-02-04 23:47:15,"Just checking out #Startup, seems okay.",Positive,0.2263,#Startup
2026-02-04 23:47:17,I love usage of #Python! It's amazing.,Positive,0.8516,#Python
2026-02-04 23:47:19,Excited for the new #AI update!,Positive,0.4003,#AI
2026-02-04 23:47:20,"Just checking out #Crypto, seems okay.",Positive,0.2263,#Crypto
2026-02-04 23:47:22,Investing in #AI is the best decision I made.,Positive,0.6369,#AI
2026-02-04 23:47:25,Excited for the new #Python update!,Positive,0.4003,#Python
2026-02-04 23:47:28,#AI broken again. Please fix it.,Negative,-0.2023,#AI
2026-02-04 23:47:29,Excited for the new #Startup update!,Positive,0.4003,#Startup
2026-02-04 23:47:31,"Just checking out #Python, seems okay.",Positive,0.2263,#Python
2026-02-04 23:47:32,Excited for the new #Python update!,Positive,0.4003,#Python
2026-02-04 23:47:34,Why is #Startup so popular? I don't get the hype.,Positive,0.5598,#Startup
2026-02-04 23:47:35,#AI broken again. Please fix it.,Negative,-0.2023,#AI
2026-02-04 23:47:37,#Python broken again. Please fix it.,Negative,-0.2023,#Python
2026-02-04 23:47:39,#Python is failing hard today. Terrible performance.,Negative,-0.7783,#Python
2026-02-04 23:47:41,Investing in #Startup is the best decision I made.,Positive,0.6369,#Startup
2026-02-04 23:47:43,#Startup is failing hard today. Terrible performance.,Negative,-0.7783,#Startup
2026-02-04 23:47:44,"Neutral opinion on #Python, wait and see.",Neutral,0.0,#Python
2026-02-04 23:47:46,Why is #AI so popular? I don't get the hype.,Positive,0.5598,#AI
2026-02-04 23:47:48,I love usage of #Crypto! It's amazing.,Positive,0.8516,#Crypto
2026-02-04 23:47:50,#AI broken again. Please fix it.,Negative,-0.2023,#AI
2026-02-04 23:47:52,Investing in #Python is the best decision I made.,Positive,0.6369,#Python
2026-02-04 23:47:53,Excited for the new #Python update!,Positive,0.4003,#Python
2026-02-04 23:47:54,#Python is failing hard today. Terrible performance.,Negative,-0.7783,#Python
2026-02-04 23:47:57,Investing in #Tech is the best decision I made.,Positive,0.6369,#Tech
